id,distance,latitude,longitude,rating,review_count,price
_VgZePrqUvefb4pr3_uhwg,31345.6027903271,36.74579,-75.94478,3.5,87,$$
2doi5EBmcE8twNGWY3aOrQ,37692.79168414527,36.76619,-76.0146199,4.5,442,$$
neNx9c4RTNonx0rG3pp4GQ,42867.25017199069,36.857944,-75.989774,4.5,224,$$
vx-SmP_94nNZ0rIziDLUHQ,36666.11223130579,36.757723,-76.007961,4.0,61,$$
NHUXusyDjSDYBTeKnTYNbQ,13803.08036295712,36.7621068096736,-83.015356164418,4.0,3,$$
NW3RkwIEH8j94Z_ktMXYtw,37272.19114070979,36.97137,-82.59669,3.5,8,$
Q0FdvA20ml1hKayt1fBTeg,33467.38245057258,36.7106691334721,-82.8017808124423,5.0,1,$$
M8Bj2aN_IQztq7DtU5Zzaw,36749.04512559459,36.866594,-82.7757967,3.0,9,$
HGY1ojoLu07P_ky2LeRguQ,11634.88357523413,36.689259,-82.75304,4.5,3,$
Ooie81V3PP_nCe4kxO4jvw,18392.12735947884,36.9326160186119,-82.632204182446,4.5,17,$$
J5XS3VmxnLKhNlpiwDJ-3A,12584.733014820247,36.8593672626353,-82.7567435921124,4.0,5,$
KQulbF1_byfZYrt6kHvySg,18978.252032834,36.6211738586426,-82.5689315795898,5.0,4,$$
mR4CBEBWJoUghMnA_kxfkA,19579.71604016941,36.9394728,-82.6055273,4.5,5,$$
xma43505iCnoLl0NsKxuzg,35377.43602878571,36.9050773,-82.3100778,4.5,9,$$
o8RJQ48L--hmcJlCoHG4hA,28695.68284775726,37.0195775425656,-82.5879145548578,5.0,5,$
0q9_mKE84zD3o6qRuDJSyg,26446.647969093778,36.943478,-82.466651,4.5,3,$
w1tkMiu-VSmasV7dgwY8eg,35537.38458067023,36.9069213867188,-82.3091430664062,4.5,3,$$
W8PeONYb2u9Mqf0XAi9tIA,18351.793509342147,36.9320602,-82.633049,4.0,22,$$
8xHHN6tpro5dXChqIOqacw,25144.613545288485,36.9403958,-82.4842072,4.0,5,$$
vSBBckxtuHzLeXX6TToh2Q,24457.02399353008,36.9787297747929,-82.5833128765225,3.5,14,$$
eQOPuOeUsnthD_D55soAMQ,23165.78266909833,36.9696195,-82.5945547,3.0,9,$$
3BQadtSeqPTuAugMe0k2kQ,18294.013659327175,36.93192,-82.63337,3.0,11,$$
8K2HZr5MPfGSGVtRt73lvg,20141.976201350157,36.9462199,-82.61751,4.5,2,$
gUirKeUAl9GDSZpvZaUyBg,23322.10227563976,36.97144,-82.596971,4.0,9,$$
-2brZPqR83NEJZzk6t_Gvw,22247.585095568647,36.6542528103767,-82.4664219098336,5.0,4,$
6haQIbtT52w5JiwvdIhjBA,18715.170069640142,36.9348520247556,-82.6275835568783,4.5,4,$
jiHUGDlHu4OlVVA8GvTYZg,16629.53688135008,36.901171,-82.080246,4.0,8,$
